_b_tipo_prop,_c_tipo_oper,_d_prov_data,_e_partido_data,_f_localidad_data,_g_barrio_data,_h_dormi,_i_currency,_j_prop_price,_k_sup_prop,_l_old_prop,_m_dispo_prop,_n_bath_amount,_o_link_prop,_z_title
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,2,USD,240000,87 m²,60 años,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-4-ambientes--6115388,"Departamento en Venta en Olivos Vias/Rio, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,1,USD,239000,54 m²,A Estrenar,1,,https://www.argenprop.com/departamento-en-venta-en-olivos-2-ambientes--5521715,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,1,USD,390000,64 m²,8 años,1,,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-2-ambientes--6548789,"Departamento en Venta en Olivos Vias/Rio, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,1,USD,265000,51 m²,7 años,2,,https://www.argenprop.com/departamento-en-venta-en-olivos-2-ambientes--5528486,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,3,USD,693000,165 m²,A Estrenar,4,,https://www.argenprop.com/departamento-en-venta-en-olivos-4-ambientes--5511898,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Maipu/Uzal,2,USD,255000,85 m²,A Estrenar,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-maipu-uzal-3-ambientes--6434373,"Departamento en Venta en Olivos Maipu/Uzal, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,1,USD,200000,47 m²,8 años,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-2-ambientes--6187373,"Departamento en Venta en Olivos Vias/Maipu, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,2,USD,215000,84 m²,60 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-3-ambientes--6171043,"Departamento en Venta en Olivos Vias/Maipu, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,1,USD,273000,66 m²,A estrenar,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-2-ambientes--6115431,"Departamento en Venta en Olivos Vias/Rio, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,3,USD,485000,135 m²,8 años,Frente,2,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-4-ambientes--6115507,"Departamento en Venta en Olivos Vias/Maipu, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,3,USD,350000,100 m²,Frente,2,,https://www.argenprop.com/departamento-en-venta-en-olivos--6104451,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,2,USD,279000,63 m²,8 años,Frente,2,https://www.argenprop.com/departamento-en-venta-en-olivos-3-ambientes--5432194,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Maipu/Uzal,1,USD,155000,45 m²,A Estrenar,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-maipu-uzal-2-ambientes--7340815,"Departamento en Venta en Olivos Maipu/Uzal, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,1,USD,181000,63 m²,A Estrenar,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-2-ambientes--6115430,"Departamento en Venta en Olivos Vias/Rio, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Maipu/Uzal,1,USD,108000,42 m²,45 años,Interno,1,https://www.argenprop.com/departamento-en-venta-en-olivos-maipu-uzal-2-ambientes--6652099,"Departamento en Venta en Olivos Maipu/Uzal, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,1,USD,367000,65 m²,5 años,1,,https://www.argenprop.com/departamento-en-venta-en-olivos-2-ambientes--6123521,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,1,USD,208000,53 m²,A Estrenar,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-2-ambientes--7118936,"Departamento en Venta en Olivos Vias/Rio, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,2,USD,250000,60 m²,10 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-3-ambientes--6675151,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,2,USD,190000,70 m²,45 años,Lateral,1,https://www.argenprop.com/departamento-en-venta-en-olivos-3-ambientes--6540342,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,1,USD,95000,26 m²,A Estrenar,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-1-ambiente--6426608,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,1,USD,159000,54 m²,40 años,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-2-ambientes--6388172,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,2,USD,295000,72 m²,A Estrenar,2,,https://www.argenprop.com/departamento-en-venta-en-olivos-3-ambientes--6258258,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,1,USD,99000,31 m²,35 años,Apto Profesional,1,https://www.argenprop.com/departamento-en-venta-en-olivos-2-ambientes--6653230,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,,USD,290000,49 m²,,,,https://www.argenprop.com/departamento-en-venta-en-olivos--7386488,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,2,USD,270000,75 m²,A Estrenar,Frente,2,https://www.argenprop.com/departamento-en-venta-en-olivos-3-ambientes--5360041,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,4,USD,680000,242 m²,40 años,Frente,3,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-5-ambientes--7133836,"Departamento en Venta en Olivos Vias/Rio, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,1,USD,150000,37 m²,4 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-2-ambientes--6279669,"Departamento en Venta en Olivos, Vicente Lopez"
