_b_tipo_prop,_c_tipo_oper,_d_prov_data,_e_partido_data,_f_localidad_data,_g_barrio_data,_h_dormi,_i_currency,_j_prop_price,_k_sup_prop,_l_old_prop,_m_dispo_prop,_n_bath_amount,_o_link_prop,_z_title
Casa,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Los Sauces,3,USD,500000,250 m²,11 años,,,https://www.argenprop.com/casa-en-venta-en-nordelta-los-sauces-4-ambientes--7514188,"Casa en Venta en Nordelta Los Sauces, Nordelta"
Terreno,Venta,Buenos Aires,Tigre,Nordelta,Nordelta El Yacht,,USD,335000,,,,,https://www.argenprop.com/terreno-en-venta-en-nordelta-el-yacht--6759847,"Terreno en Venta en Nordelta El Yacht, Nordelta"
Departamento,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Lago Escondido,3,USD,210000,120 m²,12 años,Frente,3,https://www.argenprop.com/departamento-en-venta-en-nordelta-lago-escondido-4-ambientes--6213376,"Departamento en Venta en Nordelta Lago Escondido, Nordelta"
Departamento,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Portezuelo,2,USD,230000,92 m²,8 años,Frente,2,https://www.argenprop.com/departamento-en-venta-en-nordelta-portezuelo-3-ambientes--6639298,"Departamento en Venta en Nordelta Portezuelo, Nordelta"
Casa,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Los Alisos,4,USD,550000,220 m²,5 años,4,Con dependencia,https://www.argenprop.com/casa-en-venta-en-nordelta-los-alisos-5-ambientes--6495713,"Casa en Venta en Nordelta Los Alisos, Nordelta"
Casa,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Las Glorietas,3,USD,390000,232 m²,A Estrenar,3,,https://www.argenprop.com/casa-en-venta-en-nordelta-las-glorietas-4-ambientes--6082337,"Casa en Venta en Nordelta Las Glorietas, Nordelta"
Casa,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Las Caletas,3,USD,730000,280 m²,10 años,4,,https://www.argenprop.com/casa-en-venta-en-nordelta-las-caletas-4-ambientes--4970297,"Casa en Venta en Nordelta Las Caletas, Nordelta"
Terreno,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Castaños,,USD,145000,,,,,https://www.argenprop.com/terreno-en-venta-en-nordelta-castanos--6393429,"Terreno en Venta en Nordelta Castaños, Nordelta"
Departamento,Venta,Buenos Aires,Tigre,Nordelta,Otros barrios de Nordelta,1,USD,125000,58 m²,7 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-otros-barrios-de-nordelta-2-ambientes--6008219,"Departamento en Venta en Otros barrios de Nordelta, Nordelta"
Departamento,Venta,Buenos Aires,Tigre,Nordelta,Otros barrios de Nordelta,1,USD,199000,"65,15 m²",5 años,Apto Profesional,Frente,https://www.argenprop.com/departamento-en-venta-en-otros-barrios-de-nordelta-2-ambientes--6008215,"Departamento en Venta en Otros barrios de Nordelta, Nordelta"
