_a_title,_b_tipo_prop,_c_tipo_oper,_d_prov_data,_e_partido_data,_f_localidad_data,_g_barrio_data,_h_dormi,_i_currency,_j_prop_price,_k_sup_prop,_l_old_prop,_m_dispo_prop,_n_bath_amount,_o_link_prop
"Departamento en Venta en Olivos Vias/Maipu, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,2,USD,325000,67 m²,20 años,Frente,,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-3-ambientes--7442326
"Departamento en Venta en Olivos, Vicente Lopez",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,,USD,230000,73 m²,A Estrenar,Apto Profesional,Contrafrente,https://www.argenprop.com/departamento-en-venta-en-olivos--6107104
"Departamento en Venta en Olivos Vias/Maipu, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,2,USD,340000,84 m²,15 años,Frente,2,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-3-ambientes--7119465
"Departamento en Venta en Olivos Vias/Maipu, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,3,USD,420000,3,3,,,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-5-ambientes--7864471
"Departamento en Venta en Olivos Vias/Rio, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,3,USD,497000,107 m²,10 años,Frente,2,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-4-ambientes--6714352
"Departamento en Venta en Olivos, Vicente Lopez",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,2,USD,440000,109 m²,7 años,Frente,2,https://www.argenprop.com/departamento-en-venta-en-olivos-3-ambientes--5509998
"Departamento en Venta en Olivos Vias/Maipu, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,1,USD,134000,42 m²,30 años,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-2-ambientes--6705939
"Departamento en Venta en Olivos Vias/Rio, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,3,USD,152000,66 m²,A Estrenar,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-4-ambientes--6107340
"Departamento en Venta en Olivos Quinta Presidencial, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Quinta Presidencial,3,USD,185000,77 m²,25 años,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-quinta-presidencial-4-ambientes--6269571
"Departamento en Venta en Olivos Vias/Maipu, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,1,USD,161000,47 m²,A Estrenar,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-2-ambientes--6368672
"Departamento en Venta en Olivos, Vicente Lopez",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,3,USD,380000,95 m²,10 años,Contrafrente,3,https://www.argenprop.com/departamento-en-venta-en-olivos-4-ambientes--6429968
"Departamento en Venta en Olivos, Vicente Lopez",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,2,USD,430000,93 m²,1 año,Lateral,2,https://www.argenprop.com/departamento-en-venta-en-olivos-3-ambientes--4961686
"Departamento en Venta en Olivos Vias/Maipu, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,3,USD,765000,165 m²,30 años,Frente,3,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-4-ambientes--7099867
"Departamento en Venta en Olivos Vias/Maipu, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,1,USD,185000,43 m²,10 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-2-ambientes--6574242
"Departamento en Venta en Olivos Maipu/Uzal, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Maipu/Uzal,3,USD,318000,98 m²,8 años,Contrafrente,2,https://www.argenprop.com/departamento-en-venta-en-olivos-maipu-uzal-4-ambientes--6701487
"Departamento en Venta en Olivos Vias/Maipu, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,2,USD,350000,90 m²,10 años,Frente,2,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-3-ambientes--6633598
"Departamento en Venta en Olivos Maipu/Uzal, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Maipu/Uzal,1,USD,175000,66 m²,10 años,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-maipu-uzal-2-ambientes--7515175
"Departamento en Venta en Olivos Vias/Rio, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,1,USD,155000,38 m²,7 años,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-2-ambientes--7036060
"Departamento en Venta en Olivos Vias/Maipu, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,2,USD,264000,73 m²,A Estrenar,Lateral,2,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-3-ambientes--6574603
"Departamento en Venta en Olivos Maipu/Uzal, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Maipu/Uzal,1,USD,124000,42 m²,30 años,1,,https://www.argenprop.com/departamento-en-venta-en-olivos-maipu-uzal-2-ambientes--7286953
"Departamento en Venta en Olivos Vias/Rio, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,1,USD,210000,60 m²,5 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-2-ambientes--6634113
"Departamento en Venta en Olivos Quinta Presidencial, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Quinta Presidencial,2,USD,74000,37 m²,A Estrenar,Apto Profesional,Interno,https://www.argenprop.com/departamento-en-venta-en-olivos-quinta-presidencial-3-ambientes--6351448
"Departamento en Venta en Olivos, Vicente Lopez",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,2,USD,175000,75 m²,A Estrenar,Lateral,2,https://www.argenprop.com/departamento-en-venta-en-olivos-3-ambientes--5360034
"Departamento en Venta en Olivos Vias/Rio, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,2,USD,313000,94 m²,A Estrenar,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-3-ambientes--7291293
"Departamento en Venta en Olivos Quinta Presidencial, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Quinta Presidencial,2,USD,135000,80 m²,40 años,Apto Profesional,Frente,https://www.argenprop.com/departamento-en-venta-en-olivos-quinta-presidencial-3-ambientes--6561460
"Departamento en Venta en Olivos Vias/Rio, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,1,USD,89000,40 m²,40 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-2-ambientes--7751392
"Departamento en Venta en Olivos Vias/Rio, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,1,USD,125000,38 m²,45 años,Lateral,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-2-ambientes--7567482
"Departamento en Venta en Olivos Vias/Maipu, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,2,USD,368000,79 m²,A Estrenar,Frente,2,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-3-ambientes--7148373
"Departamento en Venta en Olivos, Vicente Lopez",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,1,USD,175000,48 m²,A Estrenar,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-2-ambientes--6633525
"Departamento en Venta en Olivos Vias/Rio, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,2,USD,390000,64 m²,2 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-3-ambientes--6648449
"Departamento en Venta en Olivos Vias/Maipu, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,1,USD,175000,48 m²,A Estrenar,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-2-ambientes--6633529
"Departamento en Venta en Olivos Maipu/Uzal, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Maipu/Uzal,2,USD,148000,50 m²,40 años,1,,https://www.argenprop.com/departamento-en-venta-en-olivos-maipu-uzal-3-ambientes--6107202
"Departamento en Venta en Olivos Vias/Maipu, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,1,USD,227500,50 m²,A Estrenar,1,,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-2-ambientes--6634097
"Departamento en Venta en Olivos Vias/Rio, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,1,USD,145000,50 m²,A Estrenar,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-2-ambientes--6672748
"Departamento en Venta en Olivos Vias/Maipu, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,1,USD,175000,50 m²,15 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-2-ambientes--7405775
"Departamento en Venta en Olivos, Vicente Lopez",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,2,USD,240000,72 m²,8 años,Apto Profesional,Interno,https://www.argenprop.com/departamento-en-venta-en-olivos-3-ambientes--6107053
"Departamento en Venta en Olivos Vias/Rio, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,1,USD,335000,60 m²,2 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-2-ambientes--7657141
"Departamento en Venta en Olivos Quinta Presidencial, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Quinta Presidencial,2,USD,179000,60 m²,50 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-quinta-presidencial-3-ambientes--6636072
"Departamento en Venta en Olivos Vias/Maipu, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,2,USD,166000,58 m²,45 años,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-3-ambientes--6594727
"Departamento en Venta en Olivos Vias/Rio, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,1,USD,157500,50 m²,30 años,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-2-ambientes--6650858
"Departamento en Venta en Olivos Vias/Maipu, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,1,USD,197000,55 m²,A Estrenar,Lateral,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-2-ambientes--6107081
"Departamento en Venta en Olivos, Vicente Lopez",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,2,USD,290000,80 m²,A Estrenar,Lateral,2,https://www.argenprop.com/departamento-en-venta-en-olivos-3-ambientes--6634423
"Departamento en Venta en Olivos Vias/Maipu, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,3,USD,375000,120 m²,30 años,Frente,2,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-4-ambientes--6634064
"Departamento en Venta en Olivos Vias/Maipu, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,,USD,75000,17 m²,20 años,Apto Profesional,Frente,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-1-ambiente--6019160
"Departamento en Venta en Olivos Vias/Rio, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,2,USD,480000,100 m²,10 años,Lateral,2,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-4-ambientes--7781035
"Departamento en Venta en Olivos, Vicente Lopez",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,1,USD,134000,"45,60 m²",Frente,1,,https://www.argenprop.com/departamento-en-venta-en-olivos-2-ambientes--7617430
"Departamento en Venta en Olivos, Vicente Lopez",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,1,USD,150000,"45,60 m²",Frente,1,,https://www.argenprop.com/departamento-en-venta-en-olivos-2-ambientes--7617173
"Departamento en Venta en Olivos Vias/Maipu, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,3,USD,259000,116 m²,45 años,Frente,3,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-5-ambientes--6577455
"Departamento en Venta en Olivos Vias/Maipu, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,3,USD,1375000,259 m²,20 años,Frente,3,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-4-ambientes--7109251
"Departamento en Venta en Olivos Vias/Maipu, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,2,USD,175000,56 m²,45 años,Contrafrente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-3-ambientes--7546571
"Departamento en Venta en Olivos Vias/Rio, Olivos",Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,2,USD,220000,76 m²,35 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-3-ambientes--7068008
